AL5083_O

3 2 35

2700.
70.E9
0.30
          4.      1.
        300.    300.
         
1	0.29	0.12
2	0.29	1.31
4	0.29	3.30
6	0.60	4.98
8	1.05	6.68
10	1.57	8.43
20	8.85	17.21
30	33.45	25.43
40	81.96	32.89
50	148.84	39.66
60	223.64	45.85
70	298.30	51.55
80	368.67	56.81
90	433.33	61.71
100	492.20	66.26
110	545.65	70.53
120	594.13	74.52
130	638.02	78.27
140	677.58	81.80
150	713.03	85.12
160	744.53	88.26
170	772.26	91.23
180	796.44	94.04
190	817.33	96.71
200	835.24	99.24
210	850.55	101.65
220	863.70	103.95
230	875.15	106.15
240	885.42	108.25
250	895.04	110.27
260	904.58	112.20
270	914.62	114.06
280	925.75	115.86
290	938.62	117.60
300	953.86	119.28
